"id"	"stoichiometry"	"common_name"	"_comments"
"CPLX0-3953_RXN"	{"CPLX0-3953":1,"RRSA-RRNA":null,"EG10900-MONOMER":null,"EG10901-MONOMER":null,"EG10902-MONOMER":null,"EG10903-MONOMER":null,"EG10904-MONOMER":null,"EG10905-MONOMER":null,"EG10906-MONOMER":null,"EG10907-MONOMER":null,"EG10908-MONOMER":null,"EG10909-MONOMER":null,"EG10910-MONOMER":null,"EG10911-MONOMER":null,"EG10912-MONOMER":null,"EG10913-MONOMER":null,"EG10914-MONOMER":null,"EG10915-MONOMER":null,"EG10916-MONOMER":null,"EG10917-MONOMER":null,"EG10918-MONOMER":null,"EG10919-MONOMER":null,"EG10920-MONOMER":null}	"30S ribosomal subunit"	"Removed EG11508-MONOMER[c] (sra) because it is not essential and should have very low counts in rich media"
# CPLX0-7452_RXN consumes raw FliD (EG10841-MONOMER) directly, unmodified from
# the vendored stoichiometry. A FliT:FliD-complex-consuming variant was tried
# and reverted in 2026-08-05 (blocked by molecule_groups.py's one-product
# constraint on complexation reactions); the FliT:FlhD4C2 checkpoint that
# variant fed was itself removed 2026-08-10 -- see
# archive/flit-flhdc-regulation-2026-08/ for the full history.
#
# STOICHIOMETRY FIX (2026-08-06, flagella-cascade investigation): the vendored
# reaction treated FliC, FlgK, and FlgL as -1 (single copy) each via ParCa's
# null-stoichiometry default -- a severe undercount. Real literature values:
#   FliC (filament): ~20,000 subunits ("The bacterial flagellar filament consists
#     of approximately 20,000 flagellins and can be several micrometers long,"
#     PMC7696725; corroborated by multiple sources citing 20,000-40,000 for
#     5-20 um filaments). This is the single largest correction in the whole
#     flagellar reaction network by several orders of magnitude.
#   FlgK, FlgL (hook-filament junction, HAP1/HAP3): 11 copies each (recent
#     cryo-EM structural consensus: 11 FlgK form the proximal HFJ layer above
#     the hook, 11 FlgL form the distal layer beneath the filament).
#   FliD (cap): -6 -> -5 (pentamer; recent structural consensus describes FliD
#     as a pentamer in 5:5 stoichiometry with FlgL/FliC, e.g. Nature Comms
#     s41467-020-16981-4).
# FlgE (hook) was already correct at -120 (matches the real ~120-subunit hook)
# and FLAGELLAR-MOTOR-COMPLEX is unchanged, still consumed at -1 (one motor
# complex per flagellum).
# Original (unmodified) stoichiometry, kept per standing preserve-old-code rule:
# {"CPLX0-7452": 1, "FLAGELLAR-MOTOR-COMPLEX": null, "G361-MONOMER": -120, "EG11967-MONOMER": null, "EG11545-MONOMER": null, "EG10321-MONOMER": null, "EG10841-MONOMER": -6}
# FliC TARGET LENGTH CHANGE (2026-08-10, flagella-cascade investigation): -20000
# changed to -10000. Both are real, cited values -- literature range for
# filament length is ~20,000-40,000 subunits (5-20 um at ~2,000-2,130
# subunits/um); 10,000 (~5 um) is the short end of that real range, not an
# arbitrary diagnostic override. Chosen because completion time scales
# roughly with L^2 (dL/dt=a/(b+L) growth law, flagella_filament_elongation.py),
# so this cuts minimum completion time from ~133 min to ~35 min -- making
# single-generation completion achievable within practical simulation
# windows. Kept in sync with flagella_filament_elongation.py's TARGET_LENGTH
# and sim_data.py's get_flagella_filament_elongation_config, both also
# changed to 10000, so ParCa's own recorded molecular weight for a complete
# flagellum matches what elongation actually builds. Previous value kept
# per standing preserve-old-code rule:
# {"CPLX0-7452": 1, "FLAGELLAR-MOTOR-COMPLEX": -1, "G361-MONOMER": -120, "EG11967-MONOMER": -11, "EG11545-MONOMER": -11, "EG10321-MONOMER": -20000, "EG10841-MONOMER": -5}
#
# FliC TARGET LENGTH CHANGE v2 (2026-08-11, flagella-cascade investigation):
# -10000 changed to -5000 (~2.5 um). Still a real, cited value on the short
# end of the 20,000-40,000 literature range (PMC7696725) -- not an arbitrary
